Borough,Rental Prices per sqm,Growth last decade %,AirBnb availability (>5),AirBnB availability (>50),Income Gross,Google searches for rental flat ranked,Tourist Area inidicator ,Good Public Transport indicator %
 Innere Stadt,19.96,2.7,1,1,40116,5,1,91
 Leopoldstadt,16.51,12.3,1,1,33189,4,1,63
 Landstrasse,16.59,8.6,1,1,35649,3,1,61
 Wieden,16.36,9.2,1,1,38837,5,1,69
 Margareten,14.97,8.7,1,1,29306,3,0,58
 Mariahilf,16.23,8.3,1,1,35405,3,1,82
 Neubau,16.45,7.1,1,1,37601,4,1,95
 Josefstadt,15.21,7.7,1,1,37745,4,1,97
 Alsergrund,16.35,8.2,1,0,36738,4,0,92
 Favoriten,16.25,15.8,1,0,27246,1,1,63
 Simmering,14.48,16.7,1,1,30472,5,0,54
 Meidling,15.02,11.9,1,0,29052,5,0,48
 Hietzing,14.88,6,1,0,44674,5,0,28
 Penzing,14.56,9.3,1,0,34498,2,0,65
 Rudolfsheim-Fuenfhaus,14.47,12.4,1,0,25899,1,0,83
 Ottakring,14.04,10.8,1,1,30044,2,1,62
 Hernals,14.14,9.1,1,0,32378,1,1,70
 Waehring,15.21,7.7,1,0,40059,4,0,54
 Doebling,16.44,6.1,0,0,42260,4,0,20
 Brigittenau,13.95,6.4,0,0,26130,3,0,69
 Floridsdorf,14.11,14.4,0,0,33274,1,0,32
 Donaustadt,15.59,22,1,1,38125,2,1,21
 Liesing,16.13,10.8,0,0,36753,5,0,15
